N;file_name;flag;result
205;IMG_20190510_160857.JPG;Family;0.9202987551689148
206;IMG_20190809_232448.JPG;Family;0.9994295239448547
207;IMG_20190918_110955.jpg;Work;4.271559646440437e-06
208;IMG_20190918_120948.jpg;Work;0.34839603304862976
209;IMG_20191007_120453.jpg;Work;0.00737183541059494
210;IMG_20191018_131531.JPG;Family;1.0
211;IMG_20191114_115230.JPG;Family;0.9999945163726807
212;IMG_20191116_214120.JPG;Family;0.9488971829414368
213;IMG_20191121_165026.JPG;Work;0.04957825690507889
214;IMG_20200804_171642.JPG;Family;0.9359244108200073
215;IMG_20200807_115211.JPG;Family;0.8643002510070801
216;IMG_20200911_114945.JPG;Work;0.7008276581764221
217;IMG_20150626_225537.JPG;Family;1.0
218;IMG_20150704_141739.JPG;Family;1.0
219;IMG_20151028_093129.JPG;Family;1.0
220;IMG_20151029_155124.JPG;Family;0.9999971389770508
221;IMG_20151109_193636.JPG;Work;0.37214359641075134
222;IMG_20190808_150427.jpg;Family;0.9985862970352173
223;IMG_20160216_135104_1.JPG;Work;0.7516905069351196
224;IMG_20160406_222955.JPG;Family;1.0
225;IMG_20160416_192359.JPG;Family;0.9999990463256836
226;IMG_20160422_122039.JPG;Work;0.0002736731548793614
227;IMG_20160614_081600.JPG;Work;0.01625210791826248
228;IMG_20160614_210233.JPG;Family;0.9999998807907104
229;IMG_20160614_212655.JPG;Family;1.0
230;IMG_20160616_163241.JPG;Work;6.337447757687187e-07
231;IMG_20160623_163044.JPG;Family;1.0
232;IMG_20160623_165918.JPG;Family;1.0
233;IMG_20160623_210042_1.JPG;Family;1.0
234;IMG_20160625_144649.JPG;Family;0.9999958276748657
235;IMG_20160625_144712.JPG;Work;0.005569618195295334
236;IMG_20190916_174314.jpg;Work;0.7790553569793701
237;IMG_20160712_184346.JPG;Family;0.9970746040344238
238;IMG_20160721_095942.JPG;Family;1.0
239;IMG_20160802_231712_1.JPG;Family;1.0
240;IMG_20160903_140720.JPG;Work;0.07224741578102112
241;IMG_20160925_155039.JPG;Work;0.00612422963604331
242;IMG_20161027_100316.JPG;Family;0.9105461835861206
243;IMG_20170621_155514.JPG;Family;0.9999998807907104
244;IMG_20170718_190551.JPG;Work;0.08756745606660843
245;IMG_20170720_125943.JPG;Family;0.998421311378479
246;IMG_20171117_105901.JPG;Family;0.9999970197677612
247;IMG_20171123_171630.JPG;Family;1.0
248;IMG_20180102_154954.JPG;Family;1.0
249;IMG_20180204_151017.JPG;Family;0.967653214931488
250;IMG_20180207_121731.JPG;Family;1.0
251;IMG_20180209_102430.JPG;Work;0.005706502124667168
252;IMG_20180221_173758.JPG;Family;0.9998487234115601
253;IMG_20180312_154454.JPG;Family;0.9998290538787842
254;IMG_20180323_151036.jpg;Family;0.989513635635376
255;IMG_20180510_093412.JPG;Family;0.9960315823554993
256;IMG_20180510_134613.JPG;Family;0.9999961853027344
257;IMG_20180703_124124.jpg;Work;7.092604050740192e-07
258;IMG_20180717_162245.JPG;Work;0.6067222356796265
259;IMG_20180813_111257.JPG;Family;1.0
260;IMG_20180815_092855.jpg;Work;0.1904391199350357
261;IMG_20180821_144205.JPG;Work;0.002811887999996543
262;IMG_20180830_132402.JPG;Family;0.9833309054374695
263;IMG_20181004_110647.JPG;Work;3.431989803459601e-09
264;IMG_20181013_132908.JPG;Family;0.9999905824661255
265;IMG_20200609_135823.JPG;Family;0.8170763254165649
266;IMG_20181118_124628_1.JPG;Work;0.06843160092830658
267;IMG_20181206_172331.JPG;Family;0.9390612840652466
268;IMG_20190219_114506.JPG;Work;0.7010734677314758
269;IMG_20190225_094701.JPG;Family;0.8347460627555847
270;IMG_20190304_113845.jpg;Family;0.9999998807907104
271;IMG_20190926_100611_1.JPG;Work;0.11628642678260803
272;IMG_20191206_184015.jpg;Family;0.9999994039535522
273;IMG_20200117_120726.JPG;Family;0.9999998807907104
274;IMG_20200215_144605.JPG;Family;0.9297082424163818
275;IMG_20200414_085216.JPG;Family;0.9999963045120239
276;IMG_20200420_105220.JPG;Work;0.5953963398933411
277;IMG_20200522_114138.JPG;Work;0.023060282692313194
278;IMG_20200709_113317.JPG;Work;0.0282438937574625
279;IMG_20200801_193819.JPG;Family;1.0
280;IMG_20200825_114602.jpg;Family;0.999301552772522
281;IMG_20150727_202107.JPG;Family;0.9999673366546631
282;IMG_20150718_134452.JPG;Family;0.9999570846557617
283;IMG_20150725_194807.JPG;Family;1.0
284;IMG_20151211_160940.JPG;Family;0.9985554814338684
285;IMG_20200804_095006.JPG;Family;0.9999988079071045
286;IMG_20151128_142810.JPG;Family;0.9999980926513672
287;IMG_20160531_105005.JPG;Work;9.66347801778511e-09
288;IMG_20160307_155846.JPG;Family;0.9999922513961792
289;IMG_20160330_220929.JPG;Family;0.9699847102165222
290;IMG_20160511_160549.JPG;Family;0.9831662178039551
291;IMG_20160604_161253.JPG;Work;0.004290065262466669
292;IMG_20160607_145509.JPG;Work;1.1002466705723954e-13
293;IMG_20160614_215012.JPG;Family;1.0
294;IMG_20160619_194735.JPG;Family;0.999977707862854
295;IMG_20160625_144717.JPG;Family;1.0
296;IMG_20160701_161551.JPG;Work;3.857912215810501e-19
297;IMG_20161003_164259.JPG;Family;0.9082587361335754
298;IMG_20161028_081801.JPG;Family;0.994284451007843
299;IMG_20161106_122137.JPG;Family;1.0
300;IMG_20161219_194114.JPG;Family;1.0
301;IMG_20161220_174239.JPG;Family;0.9994388222694397
302;IMG_20170103_220502.JPG;Family;1.0
303;IMG_20170115_163034.JPG;Family;0.9999959468841553
304;IMG_20200807_112729.JPG;Work;1.0225802427044073e-08
305;IMG_20170406_141424.JPG;Family;0.9697219729423523
306;IMG_20170619_175502.JPG;Work;0.6265581250190735
307;IMG_20170706_110743.JPG;Work;0.0760454535484314
308;IMG_20170810_094531.JPG;Family;1.0
309;IMG_20170924_173736.JPG;Family;0.9990687966346741
310;IMG_20171014_124125.JPG;Family;0.9998272061347961
311;IMG_20171115_192019.JPG;Family;1.0
312;IMG_20171123_170321.JPG;Family;1.0
