file_name,day_week,hour,datetime,N,flag,result
1.JPG,7,15,2017-09-03 15:51:12,7582,Family,1.0
IMG_20121017_001317.JPG,,,,3457,Family,0.9999997615814208
IMG_20150417_112806.JPG,5,11,2015-04-17 11:28:06,9073,Family,0.9981799125671388
IMG_20150417_112844.JPG,5,11,2015-04-17 11:28:44,3608,Family,0.999914050102234
IMG_20150417_112927_1.JPG,5,11,2015-04-17 11:29:27,1356,Family,0.9998179078102112
IMG_20150417_113014.JPG,5,11,2015-04-17 11:30:14,8976,Family,0.9964815378189088
IMG_20150417_113144_1.JPG,5,11,2015-04-17 11:31:44,1833,Family,0.9985207915306092
IMG_20150417_113159.JPG,5,11,2015-04-17 11:31:59,4061,Family,0.9936596751213074
IMG_20150417_113223.JPG,5,11,2015-04-17 11:32:23,1690,Work,0.08366057276725769
IMG_20150417_114533.JPG,5,11,2015-04-17 11:45:33,8860,Family,0.9999995231628418
IMG_20150502_160714.JPG,,,,4476,Family,0.9999998807907104
IMG_20150503_100956.JPG,,,,9000,Family,1.0
IMG_20150503_101347.JPG,7,10,2015-05-03 10:13:47,4892,Work,0.6982035040855408
IMG_20150503_101530.JPG,,,,3834,Family,1.0
IMG_20150503_131200.JPG,,,,2278,Family,0.9999957084655762
IMG_20150503_145122_1.JPG,,,,6711,Family,1.0
IMG_20150503_195049.JPG,,,,2910,Work,0.7669757008552551
IMG_20150504_114906.JPG,,,,6684,Family,0.998791754245758
IMG_20150516_200917.JPG,6,20,2015-05-16 20:09:17,2371,Family,1.0
IMG_20150516_200932.JPG,6,20,2015-05-16 20:09:32,617,Family,1.0
IMG_20150519_161807.JPG,,,,8627,Family,0.9999997615814208
IMG_20150520_141855.JPG,3,14,2015-05-20 14:18:55,4045,Family,0.9999457597732544
IMG_20150520_143144.JPG,3,14,2015-05-20 14:31:44,1367,Work,0.8511232137680054
IMG_20150520_144001.JPG,3,14,2015-05-20 14:40:01,2360,Work,0.9868198037147522
IMG_20150520_144013.JPG,3,14,2015-05-20 14:40:13,1542,Work,0.9485122561454772
IMG_20150520_144106.JPG,3,14,2015-05-20 14:41:06,6461,Family,0.9999674558639526
IMG_20150520_144808.JPG,3,14,2015-05-20 14:48:08,3465,Work,0.5635229349136353
IMG_20150523_115056.JPG,6,11,2015-05-23 11:50:56,6048,Family,0.999996304512024
IMG_20150523_115115.JPG,6,11,2015-05-23 11:51:15,2050,Family,1.0
IMG_20150523_181235.JPG,6,18,2015-05-23 18:12:35,6536,Family,0.9999984502792358
IMG_20150523_212212.JPG,6,21,2015-05-23 21:22:12,4668,Family,1.0
IMG_20150527_182755.JPG,3,18,2015-05-27 18:27:55,150,Family,1.0
IMG_20150530_151055.JPG,6,15,2015-05-30 15:10:55,5088,Family,1.0
IMG_20150530_151110.JPG,6,15,2015-05-30 15:11:10,1348,Family,1.0
IMG_20150530_151131.JPG,6,15,2015-05-30 15:11:31,1220,Family,1.0
IMG_20150531_091915.JPG,7,9,2015-05-31 09:19:15,7587,Work,0.903035581111908
IMG_20150531_091920.JPG,7,9,2015-05-31 09:19:20,2522,Family,0.9944426417350768
IMG_20150531_163850.JPG,7,16,2015-05-31 16:38:50,7942,Family,0.999384880065918
IMG_20150606_203105.JPG,6,20,2015-06-06 20:31:05,7417,Family,1.0
IMG_20150606_203221.JPG,6,20,2015-06-06 20:32:21,3613,Family,1.0
IMG_20150606_203225.JPG,6,20,2015-06-06 20:32:25,5745,Family,1.0
IMG_20150612_101327_2.JPG,,,,4896,Family,1.0
IMG_20150612_141938.JPG,5,14,2015-06-12 14:19:38,8757,Family,1.0
IMG_20150613_004816.JPG,6,0,2015-06-13 00:48:16,1217,Family,0.9999712705612184
IMG_20150613_004820.JPG,6,0,2015-06-13 00:48:20,942,Family,0.9999632835388184
IMG_20150613_004841.JPG,6,0,2015-06-13 00:48:41,8923,Family,0.9999196529388428
IMG_20150613_004850.JPG,6,0,2015-06-13 00:48:50,1915,Family,0.9999626874923706
IMG_20150613_005010.JPG,6,0,2015-06-13 00:50:10,8483,Family,1.0
IMG_20150613_005124.JPG,6,0,2015-06-13 00:51:24,5075,Family,1.0
IMG_20150614_153558.JPG,7,15,2015-06-14 15:35:58,6411,Family,1.0
IMG_20150614_155950.JPG,7,15,2015-06-14 15:59:50,8115,Family,0.9999849796295166
IMG_20150614_160054.JPG,7,16,2015-06-14 16:00:54,2288,Family,1.0
IMG_20150614_160109.JPG,7,16,2015-06-14 16:01:09,2178,Family,1.0
IMG_20150614_160219.JPG,7,16,2015-06-14 16:02:19,7293,Family,1.0
IMG_20150617_121927.JPG,,,,3784,Family,0.9984110593795776
IMG_20150621_140751.JPG,7,14,2015-06-21 14:07:51,6928,Family,1.0
IMG_20150625_171643.JPG,,,,6377,Work,0.15215957164764404
IMG_20150625_171644.JPG,,,,2104,Work,0.02247532643377781
IMG_20150625_171644_1.JPG,,,,2105,Work,0.3830161392688751
IMG_20150626_150233.JPG,,,,836,Family,1.0
IMG_20150626_222736.JPG,5,22,2015-06-26 22:27:36,4739,Family,0.9998158812522888
IMG_20150626_222752.JPG,5,22,2015-06-26 22:27:52,1023,Family,0.9999930858612059
IMG_20150626_225442.JPG,5,22,2015-06-26 22:54:42,8016,Family,1.0
IMG_20150626_225537.JPG,5,22,2015-06-26 22:55:37,218,Family,1.0
IMG_20150704_141739.JPG,6,14,2015-07-04 14:17:39,219,Family,1.0
IMG_20150712_153332.JPG,7,15,2015-07-12 15:33:32,8992,Family,1.0
IMG_20150712_185744.JPG,7,18,2015-07-12 18:57:44,0,Work,0.9696504473686218
IMG_20150712_185803.JPG,7,18,2015-07-12 18:58:03,6732,Family,0.993815302848816
IMG_20150718_133918.JPG,6,13,2015-07-18 13:39:18,720,Family,0.9976874589920044
IMG_20150718_134144.JPG,6,13,2015-07-18 13:41:44,2176,Family,1.0
IMG_20150718_134157.JPG,6,13,2015-07-18 13:41:57,3555,Family,1.0
IMG_20150718_134452.JPG,6,13,2015-07-18 13:44:52,283,Family,0.9999570846557616
